sep=; 
EthoWatcher Open Source 
Observer
Lab
Experiment
Animal
Weight
sex
Treatment/condition
Other Info
WARNING: in this version, DECIMALS are separated by DOT(.) 
TRACKING - ACTIVITY REPORT
Registred video file are locate in C:/teste_ethowatcher/Lane maze w background femeas exemplo multiplas areas mosca 1 intrinsic noise camera virtual.vxml
Start in ;22.5;seconds ;675; frames 
End in ;56.9333;seconds ;1708; frames 
1 cm = ;108.805; pixeis
1 pixel= 8.447e-05cm2
Area Name ;Total Area
Figure Height; 480
Figure Width; 640






;;Number of pixels;Area (in cm2);Horizontal coordinate of the centroid;Vertical coordinate of the centroid;AA(in degrees);Height of the animal;Width of the animal;Object Detected;Distance travelled by the centroid;Distance travelled by the centroid;Variation of Area (from the former frame);Variation of Height of animal (from the former frame);Variation of width of animal (from the former frame);Variation of Angule of animal;Intrinsic noise (minimum variation distance traveled by the centroid)
frames;second;of the animal's body;of the animal's body;(in pixels, from0 to 640 );(in pixels, from 0 to 480 );Angle between animal and Horizontal coordinate ;in cm;in cm;true or false;(in pixels);(in cm);in cm2;in cm;in cm;in degrees;true or false
773;25.7667;163;0.0137686;299.092;23.365;0;0.0827168;0.220578;true;11.3628;0.104433;0.00025341;0;0;0;false;
774;25.8;163;0.0137686;299.092;23.365;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
775;25.8333;163;0.0137686;299.092;23.365;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
776;25.8667;163;0.0137686;299.092;23.365;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
777;25.9;165.5;0.0139798;310.759;23.8338;0;0.0827168;0.220578;true;11.6767;0.107318;0.000211175;0;0;0;false;
778;25.9333;165.5;0.0139798;310.759;23.8338;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
779;25.9667;165.5;0.0139798;310.759;23.8338;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
780;26;166.5;0.0140642;323.421;23.2663;0;0.0827168;0.220578;true;12.6748;0.116491;8.447e-05;0;0;0;false;
781;26.0333;166.5;0.0140642;323.421;23.2663;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
782;26.0667;166.5;0.0140642;323.421;23.2663;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
783;26.1;166.5;0.0140642;323.421;23.2663;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
784;26.1333;151;0.012755;338.742;22.7252;0;0.0827168;0.211387;true;15.3299;0.140893;-0.00130928;0;-0.00919075;0;false;
785;26.1667;151;0.012755;338.742;22.7252;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
786;26.2;151;0.012755;338.742;22.7252;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
787;26.2333;151;0.012755;338.742;22.7252;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
788;26.2667;145.5;0.0122904;354.253;22.4593;0;0.0827168;0.202197;true;15.5137;0.142583;-0.000464585;0;-0.00919075;0;false;
789;26.3;145.5;0.0122904;354.253;22.4593;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
790;26.3333;145.5;0.0122904;354.253;22.4593;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
791;26.3667;148.5;0.0125438;367.291;22.5376;-5.71059;0.0813918;0.213082;true;13.0378;0.119827;0.00025341;-0.00132502;0.0108853;-5.71059;false;
